borrowing_id,funding_source,cost_of_funds,maturity_bucket,interest_reset_type,borrowing_amount,rollover_risk_score,flag_cost_invalid,flag_rollover_invalid,cost_of_funds_outlier_flag,borrowing_amount_outlier_flag,rollover_risk_score_outlier_flag,annual_interest_expense,is_short_term_funding,funding_risk_exposure
120,bank line,6.83,3y,floating,3167220,0.0671,False,False,False,False,False,216321.13,0,212520.46
121,commercial paper,5.69,1m,floating,16080386,0.3379,False,False,False,False,False,914973.96,1,5433562.43
122,commercial paper,7.76,3y,fixed,20896089,0.0817,False,False,False,False,False,1621536.51,0,1707210.47
123,bank line,11.77,1m,floating,32167142,0.5403,False,False,False,False,False,3786072.61,1,17379906.82
124,term loan,9.89,6m,floating,11990092,0.0196,False,False,False,False,False,1185820.1,0,235005.8
125,term loan,9.95,3y,fixed,47759989,0.94,False,False,False,False,False,4752118.91,0,44894389.66
126,term loan,8.17,3y,floating,38545996,0.9665,False,False,False,False,False,3149207.87,0,37254705.13
127,commercial paper,10.68,3m,floating,34117559,0.3047,False,False,False,False,False,3643755.3,1,10395620.23
128,ncd,11.36,6m,floating,46846074,0.2602,False,False,False,False,False,5321714.01,0,12189348.45
129,commercial paper,11.73,3y,floating,42481475,0.1044,False,False,False,False,False,4983077.02,0,4435065.99
130,term loan,5.69,3y,fixed,11551224,0.9049,False,False,False,False,False,657264.65,0,10452702.6
131,bank line,11.16,3m,floating,20851739,0.5869,False,False,False,False,False,2327054.07,1,12237885.62
132,bank line,6.58,1m,floating,31178363,0.6101,False,False,False,False,False,2051536.29,1,19021919.27
133,bank line,7.78,6m,fixed,13217390,0.8959,False,False,False,False,False,1028312.94,0,11841459.7
134,commercial paper,7.42,3m,fixed,16882060,0.9108,False,False,False,False,False,1252648.85,1,15376180.25
135,ncd,9.73,6m,floating,23959593,0.8283,False,False,False,False,False,2331268.4,0,19845730.88
136,term loan,9.19,6m,floating,49970441,0.7734,False,False,False,False,False,4592283.53,0,38647139.07
137,bank line,5.76,1m,fixed,39764292,0.8772,False,False,False,False,False,2290423.22,1,34881236.94
138,term loan,10.48,1m,fixed,37232227,0.876,False,False,False,False,False,3901937.39,1,32615430.85
139,term loan,8.08,1y,fixed,33304658,0.3686,False,False,False,False,False,2691016.37,0,12276096.94
140,commercial paper,5.02,3m,fixed,9707327,0.9734,False,False,False,False,False,487307.82,1,9449112.1
141,bank line,7.9,3m,fixed,38481838,0.7091,False,False,False,False,False,3040065.2,1,27287471.33
142,commercial paper,8.61,6m,fixed,18376808,0.3702,False,False,False,False,False,1582243.17,0,6803094.32
143,term loan,5.48,1y,fixed,46245359,0.442,False,False,False,False,False,2534245.67,0,20440448.68
144,term loan,6.06,1y,fixed,38838619,0.6871,False,False,False,False,False,2353620.31,0,26686015.11
145,term loan,11.96,6m,floating,3998499,0.3611,False,False,False,False,False,478220.48,0,1443857.99
146,bank line,11.1,1m,floating,22636592,0.8266,False,False,False,False,False,2512661.71,1,18711406.95
147,bank line,5.93,1y,floating,37440000,0.1481,False,False,False,False,False,2220192.0,0,5544864.0
148,bank line,9.06,3m,floating,43913160,0.9076,False,False,False,False,False,3978532.3,1,39855584.02
149,term loan,7.65,1m,floating,31274059,0.3012,False,False,False,False,False,2392465.51,1,9419746.57
150,term loan,8.81,3y,floating,46688534,0.1527,False,False,False,False,False,4113259.85,0,7129339.14
151,ncd,8.29,1y,fixed,20335465,0.858,False,False,False,False,False,1685810.05,0,17447828.97
152,bank line,5.34,6m,floating,44588040,0.2395,False,False,False,False,False,2381001.34,0,10678835.58
153,term loan,7.21,3m,fixed,29810585,0.8434,False,False,False,False,False,2149343.18,1,25142247.39
154,term loan,5.88,1y,floating,43428849,0.2963,False,False,False,False,False,2553616.32,0,12867967.96
155,ncd,8.42,6m,floating,35145923,0.9339,False,False,False,False,False,2959286.72,0,32822777.49
156,ncd,11.35,3m,floating,23000908,0.2191,False,False,False,False,False,2610603.06,1,5039498.94
157,term loan,11.97,1y,floating,2629755,0.0696,False,False,False,False,False,314781.67,0,183030.95
158,bank line,11.61,3m,floating,19410267,0.9365,False,False,False,False,False,2253532.0,1,18177715.05
159,commercial paper,11.9,3y,floating,6878380,0.1656,False,False,False,False,False,818527.22,0,1139059.73
160,commercial paper,5.11,3m,floating,48470987,0.9441,False,False,False,False,False,2476867.44,1,45761458.83
161,commercial paper,10.11,6m,floating,6498263,0.824,False,False,False,False,False,656974.39,0,5354568.71
162,bank line,6.91,1y,fixed,5447067,0.0819,False,False,False,False,False,376392.33,0,446114.79
163,term loan,11.06,6m,floating,38955456,0.4451,False,False,False,False,False,4308473.43,0,17339073.47
164,commercial paper,10.7,3y,floating,39154626,0.0734,False,False,False,False,False,4189544.98,0,2873949.55
165,commercial paper,7.97,1m,floating,15752277,0.3298,False,False,False,False,False,1255456.48,1,5195100.95
166,bank line,8.31,3m,fixed,5279636,0.3515,False,False,False,False,False,438737.75,1,1855792.05
167,term loan,6.86,6m,fixed,14164058,0.5996,False,False,False,False,False,971654.38,0,8492769.18
168,term loan,7.02,1y,fixed,5138900,0.9759,False,False,False,False,False,360750.78,0,5015052.51
169,bank line,11.87,1y,fixed,22369045,0.1698,False,False,False,False,False,2655205.64,0,3798263.84
170,commercial paper,11.22,1m,fixed,7773132,0.3292,False,False,False,False,False,872145.41,1,2558915.05
171,term loan,6.34,1y,fixed,49461867,0.5871,False,False,False,False,False,3135882.37,0,29039062.12
172,term loan,6.93,3y,floating,16721039,0.1714,False,False,False,False,False,1158768.0,0,2865986.08
173,commercial paper,5.76,1m,floating,10705239,0.7107,False,False,False,False,False,616621.77,1,7608213.36
174,bank line,11.92,3y,floating,27919184,0.4037,False,False,False,False,False,3327966.73,0,11270974.58
175,commercial paper,11.35,3m,floating,12701797,0.9496,False,False,False,False,False,1441653.96,1,12061626.43
176,ncd,8.86,3y,fixed,10992090,0.6299,False,False,False,False,False,973899.17,0,6923917.49
177,term loan,9.85,3m,fixed,45317877,0.3631,False,False,False,False,False,4463810.88,1,16454921.14
178,bank line,10.24,3y,floating,6764712,0.7195,False,False,False,False,False,692706.51,0,4867210.28
179,commercial paper,6.43,1m,floating,29703839,0.8388,False,False,False,False,False,1909956.85,1,24915580.15
180,commercial paper,11.54,3m,fixed,14255257,0.8005,False,False,False,False,False,1645056.66,1,11411333.23
181,bank line,8.69,3y,fixed,29765254,0.2628,False,False,False,False,False,2586600.57,0,7822308.75
182,term loan,5.65,3y,fixed,43017379,0.417,False,False,False,False,False,2430481.91,0,17938247.04
183,bank line,7.78,1y,floating,40378230,0.4522,False,False,False,False,False,3141426.29,0,18259035.61
184,ncd,9.21,3y,fixed,1328006,0.3884,False,False,False,False,False,122309.35,0,515797.53
185,bank line,7.47,1y,fixed,8795034,0.3109,False,False,False,False,False,656989.04,0,2734376.07
186,ncd,9.89,3y,floating,34804453,0.7527,False,False,False,False,False,3442160.4,0,26197311.77
187,term loan,11.17,6m,floating,41301295,0.0122,False,False,False,False,False,4613354.65,0,503875.8
188,commercial paper,10.4,1y,floating,32798487,0.2935,False,False,False,False,False,3411042.65,0,9626355.93
189,ncd,9.5,1m,floating,45005719,0.1416,False,False,False,False,False,4275543.3,1,6372809.81
190,ncd,8.59,1m,fixed,8555132,0.1288,False,False,False,False,False,734885.84,1,1101901.0
191,bank line,6.78,3m,fixed,39045612,0.277,False,False,False,False,False,2647292.49,1,10815634.52
192,bank line,8.18,1m,floating,33302265,0.7622,False,False,False,False,False,2724125.28,1,25382986.38
193,commercial paper,7.05,3m,fixed,18666411,0.9694,False,False,False,False,False,1315981.98,1,18095218.82
194,term loan,11.54,1m,fixed,14063349,0.5146,False,False,False,False,False,1622910.47,1,7236999.4
195,ncd,11.35,1y,floating,6195482,0.339,False,False,False,False,False,703187.21,0,2100268.4
196,commercial paper,6.09,6m,floating,48941665,0.8292,False,False,False,False,False,2980547.4,0,40582428.62
197,ncd,10.76,3m,fixed,43316180,0.0671,False,False,False,False,False,4660820.97,1,2906515.68
198,commercial paper,9.92,6m,floating,31832172,0.0932,False,False,False,False,False,3157751.46,0,2966758.43
199,bank line,11.83,3y,floating,25177536,0.3454,False,False,False,False,False,2978502.51,0,8696320.93
200,bank line,8.24,3y,fixed,16800457,0.4484,False,False,False,False,False,1384357.66,0,7533324.92
201,term loan,10.06,6m,floating,36053241,0.7978,False,False,False,False,False,3626956.04,0,28763275.67
202,bank line,8.63,1y,fixed,33434013,0.9253,False,False,False,False,False,2885355.32,0,30936492.23
203,commercial paper,5.49,6m,floating,8866395,0.5313,False,False,False,False,False,486765.09,0,4710715.66
204,ncd,5.33,6m,fixed,27611644,0.4956,False,False,False,False,False,1471700.63,0,13684330.77
205,commercial paper,5.85,6m,floating,47993513,0.213,False,False,False,False,False,2807620.51,0,10222618.27
206,term loan,7.07,3m,floating,34505051,0.4512,False,False,False,False,False,2439507.11,1,15568679.01
207,bank line,6.81,3m,fixed,42593962,0.9236,False,False,False,False,False,2900648.81,1,39339783.3
208,bank line,10.1,6m,fixed,12067587,0.3929,False,False,False,False,False,1218826.29,0,4741354.93
209,ncd,10.01,1y,floating,27864624,0.2107,False,False,False,False,False,2789248.86,0,5871076.28
210,term loan,11.8,3y,fixed,18436873,0.3373,False,False,False,False,False,2175551.01,0,6218757.26
211,term loan,7.17,3y,fixed,11405996,0.5146,False,False,False,False,False,817809.91,0,5869525.54
212,bank line,11.57,3y,floating,6583390,0.5986,False,False,False,False,False,761698.22,0,3940817.25
213,term loan,9.29,1m,floating,30251297,0.4324,False,False,False,False,False,2810345.49,1,13080660.82
214,commercial paper,8.47,1y,fixed,19448424,0.7585,False,False,False,False,False,1647281.51,0,14751629.6
215,term loan,9.67,3m,floating,12121727,0.5845,False,False,False,False,False,1172171.0,1,7085149.43
216,commercial paper,9.92,3y,floating,14022073,0.665,False,False,False,False,False,1390989.64,0,9324678.54
217,commercial paper,6.2,3m,floating,6464745,0.8629,False,False,False,False,False,400814.19,1,5578428.46
218,commercial paper,10.26,3m,fixed,20532587,0.8657,False,False,False,False,False,2106643.43,1,17775060.57
219,bank line,10.08,3m,fixed,30297054,0.2035,False,False,False,False,False,3053943.04,1,6165450.49
220,commercial paper,11.98,3m,floating,34654773,0.6233,False,False,False,False,False,4151641.81,1,21600320.01
221,ncd,11.38,6m,fixed,14412723,0.7166,False,False,False,False,False,1640167.88,0,10328157.3
222,term loan,9.79,3m,floating,47317931,0.1459,False,False,False,False,False,4632425.44,1,6903686.13
223,commercial paper,9.99,1m,fixed,32241451,0.8428,False,False,False,False,False,3220920.95,1,27173094.9
224,ncd,11.62,3m,floating,16548191,0.1805,False,False,False,False,False,1922899.79,1,2986948.48
225,bank line,11.77,3y,fixed,35277846,0.7993,False,False,False,False,False,4152202.47,0,28197582.31
226,bank line,10.79,3m,fixed,28047783,0.1615,False,False,False,False,False,3026355.79,1,4529716.95
227,bank line,10.37,3y,fixed,35311149,0.7418,False,False,False,False,False,3661766.15,0,26193810.33
228,bank line,5.78,3m,floating,6523878,0.1481,False,False,False,False,False,377080.15,1,966186.33
229,term loan,10.81,1y,fixed,18744450,0.3788,False,False,False,False,False,2026275.04,0,7100397.66
230,bank line,6.77,6m,floating,19461883,0.1435,False,False,False,False,False,1317569.48,0,2792780.21
231,term loan,8.95,3y,floating,49848731,0.2707,False,False,False,False,False,4461461.42,0,13494051.48
232,ncd,7.84,1m,fixed,23081304,0.9845,False,False,False,False,False,1809574.23,1,22723543.79
233,bank line,7.42,3m,floating,47743067,0.1077,False,False,False,False,False,3542535.57,1,5141928.32
234,bank line,7.17,3y,fixed,23566610,0.4065,False,False,False,False,False,1689725.94,0,9579826.96
235,ncd,10.99,6m,fixed,34293545,0.6769,False,False,False,False,False,3768860.6,0,23213300.61
236,ncd,10.38,3m,floating,4676651,0.0946,False,False,False,False,False,485436.37,1,442411.18
237,term loan,8.66,6m,floating,42159580,0.109,False,False,False,False,False,3651019.63,0,4595394.22
238,commercial paper,9.65,1m,floating,14982226,0.1433,False,False,False,False,False,1445784.81,1,2146952.99
239,term loan,11.89,3y,floating,44087159,0.645,False,False,False,False,False,5241963.21,0,28436217.56
240,commercial paper,7.78,1m,floating,38801873,0.9093,False,False,False,False,False,3018785.72,1,35282543.12
241,term loan,8.86,6m,fixed,43186864,0.826,False,False,False,False,False,3826356.15,0,35672349.66
242,commercial paper,8.73,1y,floating,49236020,0.9831,False,False,False,False,False,4298304.55,0,48403931.26
243,bank line,11.55,1y,floating,47995799,0.5781,False,False,False,False,False,5543514.78,0,27746371.4
244,commercial paper,7.46,3y,floating,34501541,0.9615,False,False,False,False,False,2573814.96,0,33173231.67
245,ncd,11.9,3m,floating,31963793,0.3049,False,False,False,False,False,3803691.37,1,9745760.49
246,ncd,7.13,1m,fixed,21078843,0.4215,False,False,False,False,False,1502921.51,1,8884732.32
247,commercial paper,5.76,1y,floating,16668776,0.396,False,False,False,False,False,960121.5,0,6600835.3
248,bank line,6.34,1y,floating,24855485,0.0474,False,False,False,False,False,1575837.75,0,1178149.99
249,bank line,7.98,3m,floating,19482956,0.8297,False,False,False,False,False,1554739.89,1,16165008.59
250,commercial paper,9.55,1m,floating,44141059,0.0247,False,False,False,False,False,4215471.13,1,1090284.16
251,commercial paper,8.62,6m,fixed,34977036,0.7299,False,False,False,False,False,3015020.5,0,25529738.58
252,ncd,7.63,1y,floating,22435490,0.4071,False,False,False,False,False,1711827.89,0,9133487.98
253,ncd,8.93,3y,fixed,2157571,0.0062,False,False,False,False,False,192671.09,0,13376.94
254,term loan,10.87,3y,floating,39996562,0.2899,False,False,False,False,False,4347626.29,0,11595003.32
255,bank line,10.87,6m,fixed,49939031,0.3461,False,False,False,False,False,5428372.67,0,17283898.63
256,bank line,10.08,3m,fixed,39154934,0.9647,False,False,False,False,False,3946817.35,1,37772764.83
257,bank line,11.67,3m,fixed,46273080,0.6611,False,False,False,False,False,5400068.44,1,30591133.19
258,term loan,9.13,1y,floating,2733661,0.5436,False,False,False,False,False,249583.25,0,1486018.12
259,term loan,5.05,1y,floating,11288607,0.1271,False,False,False,False,False,570074.65,0,1434781.95
260,ncd,7.04,1y,fixed,8895978,0.3911,False,False,False,False,False,626276.85,0,3479217.0
261,ncd,7.3,6m,fixed,24115208,0.0358,False,False,False,False,False,1760410.18,0,863324.45
262,commercial paper,8.83,6m,fixed,15297921,0.7617,False,False,False,False,False,1350806.42,0,11652426.43
263,term loan,11.33,1y,fixed,28182803,0.1628,False,False,False,False,False,3193111.58,0,4588160.33
264,term loan,10.87,3m,fixed,41985626,0.5944,False,False,False,False,False,4563837.55,1,24956256.09
265,term loan,6.63,1m,floating,22681507,0.6994,False,False,False,False,False,1503783.91,1,15863446.0
266,bank line,8.64,1y,floating,25477714,0.3665,False,False,False,False,False,2201274.49,0,9337582.18
267,ncd,9.61,3m,fixed,37514319,0.6326,False,False,False,False,False,3605126.06,1,23731558.2
268,commercial paper,11.91,3m,floating,19015001,0.7642,False,False,False,False,False,2264686.62,1,14531263.76
269,term loan,5.22,3y,floating,45719662,0.1841,False,False,False,False,False,2386566.36,0,8416989.77
270,term loan,8.25,1m,floating,30242513,0.6009,False,False,False,False,False,2495007.32,1,18172726.06
271,term loan,11.92,1y,floating,19132635,0.7339,False,False,False,False,False,2280610.09,0,14041440.83
272,bank line,11.84,1m,floating,19777966,0.357,False,False,False,False,False,2341711.17,1,7060733.86
273,commercial paper,7.32,1y,fixed,43390045,0.1625,False,False,False,False,False,3176151.29,0,7050882.31
274,commercial paper,5.0,1m,floating,17937576,0.2861,False,False,False,False,False,896878.8,1,5131940.49
275,term loan,9.11,1m,floating,26970580,0.9331,False,False,False,False,False,2457019.84,1,25166248.2
276,commercial paper,11.07,3m,floating,12099805,0.3574,False,False,False,False,False,1339448.41,1,4324470.31
